seed,rd1_x,rd1_y,rd2_x,rd2_y,rd3_x,rd3_y,rd4_x,rd4_y,rd5_x,rd5_y,rd6_x,rd6_y
W07,0,10.1,1.05,9.6,2.05,10.2,3.05,12.2,4.05,8.6,4.25,15.4
W08,0,15.1,1.05,15.2,2.05,14.6,3.05,12.6,4.05,8.6,4.25,15.4
W09,0,14.7,1.05,15.2,2.05,14.6,3.05,12.6,4.05,8.6,4.25,15.4
W10,0,9.7,1.05,9.6,2.05,10.2,3.05,12.2,4.05,8.6,4.25,15.4
W11,0,11.7,1.05,11.6,2.05,10.6,3.05,12.2,4.05,8.6,4.25,15.4
W12,0,13.7,1.05,13.6,2.05,14.2,3.05,12.6,4.05,8.6,4.25,15.4
W13,0,12.7,1.05,13.2,2.05,14.2,3.05,12.6,4.05,8.6,4.25,15.4
W14,0,10.7,1.05,11.2,2.05,10.6,3.05,12.2,4.05,8.6,4.25,15.4
W15,0,8.7,1.05,9.2,2.05,10.2,3.05,12.2,4.05,8.6,4.25,15.4
W16,0,15.7,1.05,15.6,2.05,14.6,3.05,12.6,4.05,8.6,4.25,15.4
